MSRP Results:
8 3 1 0.2 1:  1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0
8 3 1 0.2 2:  1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0
8 3 1 0.2 3:  0.996, 0.996, 0.996, 0.996, 0.996, 0, 0, 0, 0, 0, 0
8 3 1 0.2 4:  0.99, 0.99, 0.99, 0.99, 0.99, 0, 0, 0, 0, 0, 0
8 3 1 0.2 5:  0.798, 0.798, 0.798, 0.798, 0.798, 0, 0, 0, 0, 0, 0
8 3 1 0.2 6:  0.605, 0.605, 0.605, 0.605, 0.605, 0, 0, 0, 0, 0, 0
8 3 1 0.2 7:  0.574, 0.574, 0.574, 0.574, 0.574, 0, 0, 0, 0, 0, 0
8 3 1 0.2 8:  0.717, 0.717, 0.717, 0.717, 0.717, 0, 0, 0, 0, 0, 0
8 3 1 0.3 1:  1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0
8 3 1 0.3 2:  0.997, 0.997, 0.997, 0.997, 0.997, 0, 0, 0, 0, 0, 0
8 3 1 0.3 3:  0.982, 0.982, 0.981, 0.981, 0.979, 0, 0, 0, 1, 0, 1
8 3 1 0.3 4:  0.895, 0.895, 0.893, 0.893, 0.891, 0, 0, 0, 2, 0, 2
8 3 1 0.3 5:  0.554, 0.554, 0.554, 0.554, 0.554, 0, 0, 0, 0, 0, 0
8 3 1 0.3 6:  0.401, 0.401, 0.401, 0.401, 0.401, 0, 0, 0, 0, 0, 0
8 3 1 0.3 7:  0.344, 0.344, 0.344, 0.344, 0.344, 0, 0, 0, 0, 0, 0
8 3 1 0.3 8:  0.472, 0.472, 0.472, 0.472, 0.472, 0, 0, 0, 0, 0, 0
8 3 1 0.4 1:  1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0
8 3 1 0.4 2:  0.979, 0.979, 0.977, 0.977, 0.974, 0, 0, 0, 2, 0, 2
8 3 1 0.4 3:  0.958, 0.958, 0.955, 0.955, 0.955, 0, 0, 0, 3, 0, 3
8 3 1 0.4 4:  0.607, 0.607, 0.601, 0.601, 0.6, 0, 0, 0, 6, 0, 6
8 3 1 0.4 5:  0.291, 0.291, 0.29, 0.29, 0.288, 0, 0, 0, 1, 0, 1
8 3 1 0.4 6:  0.176, 0.176, 0.174, 0.174, 0.174, 0, 0, 0, 2, 0, 2
8 3 1 0.4 7:  0.122, 0.122, 0.12, 0.12, 0.12, 0, 0, 0, 2, 0, 2
8 3 1 0.4 8:  0.244, 0.243, 0.243, 0.243, 0.243, 1, 0, 0, 0, 0, 1
8 3 5 0.2 1:  1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0
8 3 5 0.2 2:  0.999, 0.999, 0.996, 0.996, 0.996, 0, 0, 0, 3, 0, 3
8 3 5 0.2 3:  0.996, 0.996, 0.994, 0.994, 0.993, 0, 0, 0, 2, 0, 2
8 3 5 0.2 4:  0.988, 0.988, 0.985, 0.985, 0.984, 0, 0, 0, 3, 0, 3
8 3 5 0.2 5:  0.802, 0.802, 0.798, 0.798, 0.793, 0, 0, 0, 4, 0, 4
8 3 5 0.2 6:  0.658, 0.658, 0.655, 0.655, 0.654, 0, 0, 0, 3, 0, 3
8 3 5 0.2 7:  0.564, 0.564, 0.562, 0.562, 0.561, 0, 0, 0, 2, 0, 2
8 3 5 0.2 8:  0.737, 0.737, 0.735, 0.735, 0.735, 0, 0, 0, 2, 0, 2
8 3 5 0.3 1:  1.0, 1.0, 0.999, 0.999, 0.999, 0, 0, 0, 1, 0, 1
8 3 5 0.3 2:  0.993, 0.993, 0.985, 0.985, 0.981, 0, 0, 0, 8, 0, 8
8 3 5 0.3 3:  0.99, 0.989, 0.98, 0.98, 0.971, 1, 0, 0, 9, 0, 10
8 3 5 0.3 4:  0.89, 0.891, 0.879, 0.879, 0.871, 0, 1, 0, 12, 0, 11
8 3 5 0.3 5:  0.607, 0.607, 0.602, 0.602, 0.597, 0, 0, 0, 5, 0, 5
8 3 5 0.3 6:  0.451, 0.451, 0.443, 0.443, 0.431, 0, 0, 0, 8, 0, 8
8 3 5 0.3 7:  0.35, 0.35, 0.341, 0.341, 0.338, 0, 0, 0, 9, 0, 9
8 3 5 0.3 8:  0.49, 0.49, 0.485, 0.485, 0.48, 0, 0, 0, 5, 0, 5
8 3 5 0.4 1:  0.998, 0.998, 0.994, 0.994, 0.992, 0, 0, 0, 4, 0, 4
8 3 5 0.4 2:  0.961, 0.961, 0.948, 0.948, 0.934, 0, 0, 0, 13, 0, 13
8 3 5 0.4 3:  0.937, 0.937, 0.916, 0.916, 0.897, 0, 0, 0, 21, 0, 21
8 3 5 0.4 4:  0.652, 0.652, 0.627, 0.627, 0.602, 0, 0, 0, 25, 0, 25
